sample,question,ground_truth,raw_prediction,prediction,correct,question_type
518,"On the western edge of the pond located in the bottom-left area of the imagery, what change can be observed regarding the tree?  **A)** A tree was removed. **B)** A tree appeared. **C)** A tree was replaced by a small building. **D)** The tree was severely trimmed.",B,A,a,False,Multiple Choice
519,"In the eastern section of the residential area, has a small, light-colored building been newly constructed in a location that was previously covered by a cluster of trees?",Yes,Yes,yes,True,Yes/No
520,"Has a new house been constructed in the northwestern portion of the area, situated north of the treeline that borders the golf course?",Yes,Yes,yes,True,Yes/No
521,What change occurred in the bottom right corner of the region shown between the two images?  **A)** A building was demolished. **B)** A new building was constructed. **C)** A road was widened. **D)** A forest was replanted.,B,B,b,True,Multiple Choice
522,"Has a new building been constructed in the bottom-left corner of the residential area, where there was previously vacant land?",Yes,Yes,yes,True,Yes/No
523,"In the southern central part of the images, at the edge of the newly developed cul-de-sac, what change has occurred regarding the sidewalk?  **A)** The existing sidewalk was removed to make room for a new building. **B)** A new section of sidewalk was constructed where there was previously only vegetation. **C)** The sidewalk was widened and converted into a bike path. **D)** The sidewalk was replaced by a narrow dirt trail.",B,B,b,True,Multiple Choice
524,Has the athletic field located in the southeast corner of the image been removed and replaced by a building?,Yes,Yes,yes,True,Yes/No
525,"Has the group of small, sparse trees located in the central and eastern portions of the field, to the right of the winding pathway, grown into a larger and denser cluster of green foliage?",Yes,Yes,yes,True,Yes/No
526,"Looking at the upper left corner of the area shown, what significant change can be observed between the two images at the end of the street?  **A)** A residential building was newly constructed on a previously empty lot. **B)** A large tree was removed to clear space for a backyard. **C)** An existing house was demolished, leaving an open field. **D)** A public playground was built for the local community.",A,C,c,False,Multiple Choice
527,"Looking at the cluster of buildings, what change occurred to the structure in the lower-middle area, specifically in the second row from the bottom?  **A)** The building was demolished and the lot remains empty. **B)** The building was replaced by a new structure with a different colored roof. **C)** The building was significantly expanded with a large addition on its side. **D)** The building's orientation was changed from vertical to horizontal.",B,B,b,True,Multiple Choice
528,"In the southwest corner of the area shown, what change occurred regarding the swimming pool?  **A)** A swimming pool was demolished. **B)** A swimming pool was newly constructed. **C)** An existing swimming pool was enlarged. **D)** A swimming pool was converted into a garden plot.",B,B,b,True,Multiple Choice
529,"Has the small tree located on the front lawn, adjacent to the driveway of the house on the western side of the cul-de-sac, grown into a much larger and more prominent tree?",Yes,Yes,yes,True,Yes/No
530,"Looking at the residential area south of the main road, what change has occurred to the swimming pool behind the house in the lower middle section of the image?  **A)** The swimming pool was demolished. **B)** A new swimming pool was constructed. **C)** The existing swimming pool was filled in with soil. **D)** The swimming pool was enlarged and remodeled.",B,A,a,False,Multiple Choice
531,What change occurred to the area located to the east of the road in the middle-right section of the image?  **A)** A building was demolished. **B)** A building was constructed. **C)** A swimming pool was added. **D)** A large parking lot was paved.,B,B,b,True,Multiple Choice
532,"Has a small structure been constructed next to the house in the southeastern corner of the image, at the end of its driveway?",Yes,Yes,yes,True,Yes/No
533,"In the southern section of the residential complex, has a large tree canopy appeared in the open space between the building and the adjacent parking lot?",Yes,Yes,yes,True,Yes/No
534,What change occurred in the upper-right portion of the area between the first and second images?  **A)** A parking lot was removed. **B)** A residential building was constructed. **C)** A cluster of trees was planted. **D)** A road was diverted.,B,B,b,True,Multiple Choice
535,"Has a new residential building been constructed on the previously vacant land, situated just north of the curve in the road near the center of the image?",Yes,Yes,yes,True,Yes/No
536,"Has a new residential building been constructed in the southern portion of the plot, situated just north of the curved roadway?",Yes,Yes,yes,True,Yes/No
537,"Focusing on the bottom-center portion of the images near the newly developed structure, what has happened to the small tree that was previously situated at the edge of the wooded area?  **A)** It has grown significantly larger and more lush. **B)** It has been removed due to construction activity. **C)** It has been relocated further into the woods. **D)** It has been replaced by several smaller shrubs.",B,B,b,True,Multiple Choice
538,"Has a new residential building been constructed in the northwestern section of the area, where there was previously only an open field?",Yes,Yes,yes,True,Yes/No
539,"Has a new rectangular building been constructed to the east of the large, cross-shaped swimming pool in the center of the complex?",Yes,Yes,yes,True,Yes/No
540,Has a new residential building with a dark roof been constructed on the plot of land located east of the north-south road and just south of the intersection with the larger horizontal road?,Yes,Yes,yes,True,Yes/No
541,What transformation has occurred in the bottom-left corner of the area shown in these images?  **A)** A new building was constructed on what was previously wooded land. **B)** A pre-existing structure was demolished to clear space for a road. **C)** A large swimming pool was installed behind an existing house. **D)** An old warehouse was renovated into a residential home.,A,A,a,True,Multiple Choice
542,"Has a new residential building been constructed in the southwestern part of the image, in an area that was previously covered by trees?",Yes,Yes,yes,True,Yes/No
543,"Has a new building with a dark-colored roof been constructed on the light-colored rectangular foundation located in the northeast section of the image, just to the east of another house?",Yes,Yes,yes,True,Yes/No
544,What change can be observed at the road intersection located in the upper portion of the image?  **A)** A crosswalk was added to the pavement. **B)** An existing crosswalk was removed. **C)** The intersection was converted into a roundabout. **D)** Traffic lights were installed at each corner.,A,B,b,False,Multiple Choice
545,"Has a building been newly constructed in the upper-left corner of the area, replacing what was previously a patch of trees?",Yes,Yes,yes,True,Yes/No
546,"Looking at the residential street, what change occurred to the property on the right-hand side near the top of the images?  **A)** A house was built on a previously cleared lot. **B)** An existing house was demolished and replaced by a park. **C)** The building was expanded with a new wing added to the side. **D)** A large swimming pool was installed in the backyard of an existing house.",A,A,a,True,Multiple Choice
547,"Looking at the bottom left area of the images, what change has occurred between the first and second frames?  **A)** A building was demolished. **B)** A new building was constructed. **C)** The area was paved for a parking lot only. **D)** A small park was established.",B,B,b,True,Multiple Choice
548,"Has a new building with a dark-colored roof been constructed in the southern section of the area, in a location that was previously occupied by a cluster of trees?",Yes,Yes,yes,True,Yes/No
549,Has a striped crosswalk been added to the road segment that branches off to the west from the main diagonal road?,Yes,Yes,yes,True,Yes/No
550,Is there a newly constructed paved road running diagonally through the upper half of the area?,Yes,Yes,yes,True,Yes/No
551,"Has a large parking lot filled with numerous vehicles been constructed in the western portion of the area, replacing the previously undeveloped open field next to the residential street?",Yes,Yes,yes,True,Yes/No
552,"In the top-left corner of the area, has a new residential building been constructed on what was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
553,"Along the eastern side of the curved road in the center of the image, what change has occurred at the site of the landscaping?  **A)** A tree has been removed. **B)** A new tree has been planted. **C)** A tree has been replaced by a building. **D)** The tree has been cut down for road widening.",B,A,a,False,Multiple Choice
554,"Looking at the street corner in the bottom right corner of the images, what change occurred to the sidewalk?  **A)** It was demolished. **B)** It was constructed. **C)** It was widened. **D)** It remained unchanged.",A,D,d,False,Multiple Choice
555,"In the front yard of the house located at the northeast corner of the intersection, what change has occurred to the tree?  **A)** A tree was removed. **B)** A tree was planted. **C)** The tree was relocated to the backyard. **D)** The tree was replaced by a stone statue.",B,A,a,False,Multiple Choice
556,"What change is visible regarding the unpaved road that runs horizontally through the center of the image?  **A)** It was replaced by a wide, paved multi-lane highway. **B)** It was removed and transformed into a grassy field. **C)** It was converted into a small residential street. **D)** It was paved but narrowed significantly.",A,A,a,True,Multiple Choice
557,"In the northern portion of the images, near the edge of the residential development, what change occurred regarding the sidewalk?  **A)** It was demolished and replaced with a dirt path. **B)** It was newly constructed on previously forested land. **C)** It was widened to accommodate more foot traffic. **D)** It was removed to allow for the planting of new trees.",B,B,b,True,Multiple Choice
558,"Has a new residential building been constructed in the eastern section of the area, situated at the end of the row of houses along the newly developed street?",Yes,Yes,yes,True,Yes/No
559,"What change occurred in the front yard of the house located on the upper side of the road, three houses from the right edge?  **A)** A car was parked in the driveway. **B)** New trees or large shrubs were planted. **C)** A fence was removed. **D)** The house was expanded.",B,B,b,True,Multiple Choice
560,"In the upper-middle section of the area shown in these images, what change has occurred at the specific location where a house now stands in the second image?  **A)** The existing building was demolished and replaced with a park. **B)** A new residential building has been constructed. **C)** The building's roof was painted a different color. **D)** A large commercial structure was converted into several smaller homes.",B,B,b,True,Multiple Choice
561,"In the backyard of the second house from the left along the northern side of the street, what change has occurred regarding the swimming pool?  **A)** A new swimming pool was constructed. **B)** An existing swimming pool was demolished and filled in. **C)** A swimming pool was covered with a retractable roof. **D)** A large swimming pool was replaced by a smaller ornamental pond.",A,D,d,False,Multiple Choice
562,What change has occurred to the tree in the northwest corner of the images?  **A)** It has grown larger. **B)** It was demolished. **C)** It has been pruned. **D)** It was moved to the center of the new residential area.,B,C,c,False,Multiple Choice
563,"In the southeastern corner of the area, what change can be observed regarding the sidewalk?  **A)** The sidewalk was removed and replaced with bushes. **B)** A new sidewalk was constructed along a new roadway. **C)** The existing sidewalk was repaved with a different material. **D)** The sidewalk was relocated to the opposite side of the road.",B,B,b,True,Multiple Choice
564,What happened to the building located in the center-right portion of the images?  **A)** It was demolished to make room for a field. **B)** It was newly constructed on previously vacant land. **C)** The roof was changed from dark to light gray. **D)** It underwent a major expansion to its rear.,B,B,b,True,Multiple Choice
565,"Has a new residential building been constructed in the northwest section of the image, where there was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
566,"Has a new building been constructed in the southern section of the image, located south of the curved road junction?",Yes,Yes,yes,True,Yes/No
567,"Looking at the residential area on the left side of the image, has a new house been constructed on the previously empty lot located near the middle of the westernmost row of homes?",Yes,Yes,yes,True,Yes/No
568,"In the western portion of the neighborhood, has a large green tree grown on the southern side of the main curving road?",Yes,Yes,yes,True,Yes/No
569,"Looking at the western edge of the area shown, what has occurred to the vegetation that was present in the first image?  **A)** The trees were integrated into a new park area. **B)** They were cleared to make room for residential development. **C)** The vegetation became more dense due to natural growth. **D)** They were replaced by a small pond.",B,B,b,True,Multiple Choice
570,"Has a new residential building been constructed in the southwestern portion of the neighborhood, where there was previously only an empty field?",Yes,Yes,yes,True,Yes/No
571,"Is there a newly constructed residential building in the southwestern portion of the area, replacing what was previously undeveloped land with sparse vegetation?",Yes,Yes,yes,True,Yes/No
572,"Has a new, light-colored trail been constructed in the eastern part of the field, extending from the northern edge and curving to run southwards along the pond's perimeter?",Yes,Yes,yes,True,Yes/No
573,"Has a residential building been constructed in the middle-right section of the area, situated along the newly developed street?",Yes,Yes,yes,True,Yes/No
574,"Has a new paved sidewalk been constructed in the bottom-left corner of the image, running along the edge of the road in front of the residential properties?",Yes,No,no,False,Yes/No
575,"In the upper-middle portion of the image, bordering the northern edge of the horizontal street and the adjacent park area, what addition was made to the landscape?  **A)** A paved sidewalk was constructed. **B)** A row of small trees was planted. **C)** A stone retaining wall was built. **D)** A wooden fence was installed.",A,B,b,False,Multiple Choice
576,"What happened to the sidewalk in the northern part of the image, along the side of the vertical road?  **A)** It was repaved with cobblestones. **B)** It was demolished. **C)** It was extended to the intersection. **D)** It was painted with yellow stripes.",B,C,c,False,Multiple Choice
577,Which of the following best describes the level of scene consistency between the two provided images?  **A)** Significant global alteration throughout the captured area. **B)** High level of visual parity and structural stability. **C)** Moderate temporal deviation in the overall composition. **D)** Subtle but widespread visual shift across the landscape.,B,B,b,True,Multiple Choice
578,What change has occurred to the swimming pool in the backyard of the house located at the northeastern edge of the cul-de-sac?  **A)** It was newly built. **B)** It was demolished. **C)** It was covered with a permanent roof. **D)** It was converted into a garden area.,A,A,a,True,Multiple Choice
579,"Looking at the area located south of the large building with the orange roof and west of the winding blue water channel, what change has occurred to the structures at this location?  **A)** Existing structures were demolished. **B)** Several new small buildings with purple roofs were constructed. **C)** The buildings were repainted and had their landscaping removed. **D)** Large additions were built onto existing residential homes.",B,B,b,True,Multiple Choice
580,Has a new residential building been constructed in the northern portion of the row of houses that borders the open field to the east?,Yes,No,no,False,Yes/No
581,Has a new residential building been constructed on the empty lot located along the inner curve of the road in the western section of the image?,Yes,Yes,yes,True,Yes/No
582,"Looking at the area towards the bottom center of the images, what change can be observed regarding the building at that site?  **A)** An existing building was demolished. **B)** A new residential building was constructed. **C)** The roof of the building was replaced with a different material. **D)** An extension was added to the back of the building.",B,B,b,True,Multiple Choice
583,"Looking at the upper-central part of the images, what change has occurred regarding the swimming pool next to the house?  **A)** It was demolished and replaced with vegetation. **B)** It was newly constructed where there was previously undeveloped land. **C)** It was converted into a decorative pond. **D)** It was reduced in size to make room for a patio.",B,B,b,True,Multiple Choice
584,"Has a new building been constructed in the bottom left corner of the scene, adjacent to the horizontal road at the bottom?",Yes,Yes,yes,True,Yes/No
585,"In the front yard of the house located near the center of the neighborhood, adjacent to the diagonal road, what change has occurred to the tree over time?  **A)** It was cut down to make room for parking. **B)** It has grown and developed a larger canopy. **C)** It was replaced by a decorative bush. **D)** It was uprooted during a storm.",B,B,b,True,Multiple Choice
586,"Looking at the lower-left corner of the images, what major change occurred regarding structures at that location?  **A)** A building was completely demolished to make room for a field. **B)** A new house was built where there was previously only vegetation. **C)** The existing building's roof was replaced with a new color. **D)** A large swimming pool was installed behind an existing house.",B,B,b,True,Multiple Choice
587,"Has a new residential house been constructed in the lower-central part of the image, situated at the end of a cul-de-sac?",Yes,Yes,yes,True,Yes/No
588,"What change can be observed at the lot on the western edge of the middle row of houses?  **A)** A house was demolished, leaving a vacant lot. **B)** A new house was constructed. **C)** An existing building's roof was replaced with a different material. **D)** A swimming pool was installed in the backyard.",B,A,a,False,Multiple Choice
589,"In the lower right corner of the images, what change is observed regarding the building at that location?  **A)** A new building was constructed. **B)** An existing building was demolished. **C)** The building's roof was replaced. **D)** The building was expanded with a new wing.",A,B,b,False,Multiple Choice
590,"Has a new building been constructed in the southeast corner of the development, where there was previously only undeveloped land?",Yes,Yes,yes,True,Yes/No
591,"Has a large building with a white roof been constructed in the southeastern corner of the area, replacing what was previously an open grassy field?",Yes,Yes,yes,True,Yes/No
592,"Has a newly paved road been constructed in the eastern section of the image, providing access to a new residential development where there was previously only open, arid land?",Yes,Yes,yes,True,Yes/No
593,What change has occurred to the building located in the upper right corner of the images?  **A)** The building was demolished. **B)** A new building was constructed. **C)** The building's roof was replaced. **D)** A large addition was built onto an existing structure.,B,D,d,False,Multiple Choice
594,"In the backyard of the house located at the bottom of the image, near the boundary with the open field, what change can be observed between the two images?  **A)** A new swimming pool was installed. **B)** A tree has grown or been planted. **C)** A storage shed has been constructed. **D)** The perimeter fence has been removed.",B,B,b,True,Multiple Choice
595,"Has a large, full-canopy green tree grown on the east side of the central north-south road, situated just south of the intersection?",Yes,Yes,yes,True,Yes/No
596,What change is observed regarding the paved road in the lower right quadrant of the images?  **A)** A paved road has been newly constructed in what was previously natural scrubland. **B)** A paved road was demolished and replaced with a grassy field. **C)** A pre-existing paved road was widened to accommodate more traffic lanes. **D)** The paved road was removed and converted into a dirt hiking trail.,A,A,a,True,Multiple Choice
597,"Has a tree been planted in the northwestern lot of the residential block, adjacent to the cul-de-sac?",Yes,Yes,yes,True,Yes/No
598,"Looking at the northwest corner of the site, what change has occurred between the two images?  **A)** A building was demolished. **B)** A new residential building was constructed. **C)** A parking lot was paved. **D)** The area was cleared of trees but left undeveloped.",B,A,a,False,Multiple Choice
599,"Has a new residential building been constructed in the upper-right section of the image, at the end of the row of houses near the street corner?",Yes,Yes,yes,True,Yes/No
600,"Along the curve of the road in the bottom-left portion of the image, what change has occurred regarding the sidewalk?  **A)** A new sidewalk has been constructed where there was previously only vegetation. **B)** An existing sidewalk was demolished during road expansion. **C)** The sidewalk was replaced with a dirt trail. **D)** The sidewalk was widened to include a designated bike lane.",A,A,a,True,Multiple Choice
601,Has a new swimming pool been constructed in the backyard area located in the southwestern section of the property?,Yes,Yes,yes,True,Yes/No
602,"In the southern section of the image, has a new residential building been constructed at the bottom of the newly formed cul-de-sac where there was previously only vegetation?",Yes,Yes,yes,True,Yes/No
603,"Has the small, bright white structure located in the backyard of a property in the southeastern quadrant of the image been demolished?",Yes,Yes,yes,True,Yes/No
604,What change is visible in the northwest corner of the area shown in these images?  **A)** A building was demolished. **B)** A new building was constructed. **C)** A forest was cleared for farming. **D)** A pond was excavated.,B,B,b,True,Multiple Choice
605,Have multiple residential buildings been newly constructed in the southwestern part of the scene on land that was formerly a mix of trees and cleared ground?,Yes,Yes,yes,True,Yes/No
606,Has a paved sidewalk been newly constructed along the southern edge of the road in the eastern section of the image?,Yes,Yes,yes,True,Yes/No
607,"In the top-left quadrant of the image, has the tree in the front yard of the house on the southern side of the east-west road grown significantly in size?",Yes,Yes,yes,True,Yes/No
608,What transformation happened to the unpaved road in the eastern section of the image?  **A)** It was paved and became part of a residential neighborhood. **B)** It was destroyed to make room for a water treatment plant. **C)** It was widened but remained unpaved to serve as a fire break. **D)** It was removed to restore the area to its natural state.,A,A,a,True,Multiple Choice
609,"What change has occurred regarding the swimming pool located near the bottom edge of the image, adjacent to the wooded area?  **A)** It has been removed and replaced with a patio. **B)** It was newly constructed as part of a residential development. **C)** It has undergone a significant change in its water level. **D)** It was covered by a new permanent structure.",B,B,b,True,Multiple Choice
610,"Looking at the area to the east of the main vertical road and south of the intersecting road on the right, what change has occurred between the two time periods?  **A)** A new building has been constructed. **B)** A pre-existing building was demolished. **C)** The land was paved over to create a new parking area. **D)** The area was cleared of trees but remained undeveloped.",A,A,a,True,Multiple Choice
611,"In the southeastern part of the residential area, has a new building been constructed where there was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
612,"Has a small, dark-roofed structure or gazebo been newly constructed in the eastern section of the area, situated adjacent to a paved walkway and near a circular playground feature?",Yes,Yes,yes,True,Yes/No
613,"In the bottom-left corner of the area shown, has a new residential building been constructed on a site that was previously covered by dense forest?",Yes,Yes,yes,True,Yes/No
614,Is there a newly constructed building in the southwestern part of the image where there was previously an empty plot of land?,Yes,Yes,yes,True,Yes/No
615,"Has a new paved cul-de-sac been constructed in the northeast corner of the area, replacing the previously existing natural vegetation?",Yes,Yes,yes,True,Yes/No
616,"Has a new sidewalk been constructed in the southwestern section of the area, running parallel to the road near the edge of the residential development?",Yes,Yes,yes,True,Yes/No
617,Has a sidewalk been newly constructed along the eastern edge of the street leading into the cul-de-sac?,Yes,Yes,yes,True,Yes/No
618,"In the eastern portion of the site, have several trees been removed to make way for land clearing and new construction activity?",Yes,Yes,yes,True,Yes/No
619,"Has a new building been constructed in the central-left portion of the image, situated within a row of houses along a street where previously there was only undeveloped land?",Yes,Yes,yes,True,Yes/No
620,"Has the cluster of trees located in the northwestern part of the property, just north of the small green lawn, been removed?",Yes,Yes,yes,True,Yes/No
621,"Has a new building been constructed in the central part of the area, situated along the northeast side of the cul-de-sac?",Yes,Yes,yes,True,Yes/No
622,"At the bottom center of the images, what change has occurred to the sidewalk?  **A)** It was newly constructed. **B)** It was demolished and replaced with vegetation. **C)** It was widened to accommodate a bicycle lane. **D)** It was painted with a new decorative pattern.",A,B,b,False,Multiple Choice
623,"Has a building been newly constructed in the northwest corner of the image, situated north of the main east-west road?",Yes,Yes,yes,True,Yes/No
624,"Has a new, large building been constructed in the northwest section of the complex, occupying the previously open field area north of the paved paths?",Yes,Yes,yes,True,Yes/No
625,"Focusing on the row of properties at the top of the image, what change has occurred on the plot at the far right?  **A)** A new house has been built on the previously empty lot. **B)** An existing building has been completely removed. **C)** The property has been converted into a paved parking area. **D)** The original building's roof has been replaced with a different material.",A,A,a,True,Multiple Choice
626,"Has a new building been constructed in the southwestern corner of the image, in an area that was previously vacant and located to the west of the winding white path?",Yes,Yes,yes,True,Yes/No
627,"Along the northwestern side of the diagonal road, roughly midway between the left edge and the center of the image, what change is observed regarding the sidewalk?  **A)** It was demolished and replaced with a grass lawn. **B)** It was newly constructed where there was previously bare earth. **C)** It was narrowed to allow for the expansion of the road. **D)** it was painted with bright white safety markings.",B,B,b,True,Multiple Choice
628,"What change can be observed regarding the tree in the backyard of the house located in the bottom-left corner of the neighborhood?  **A)** The tree was removed and replaced with a garden shed. **B)** The tree grew significantly, forming a large and dense green canopy. **C)** The tree was cut down, leaving only a stump. **D)** The tree was relocated from the backyard to the front driveway.",B,B,b,True,Multiple Choice
629,"Has a new residential building with a dark grey roof been constructed in the northeastern quadrant of the area, situated between the remaining forest and a curved road?",Yes,Yes,yes,True,Yes/No
630,"In the southeastern part of the central residential block, what change can be observed between the two images?  **A)** A building was removed. **B)** A new building was constructed. **C)** The area was converted into a park. **D)** A large parking lot was added.",B,B,b,True,Multiple Choice
631,"On the western side of the residential area, adjacent to the diagonal road, what change occurred regarding the tree at that location?  **A)** It was planted. **B)** It was cut down. **C)** It was relocated to a different yard. **D)** It remained unchanged throughout the development.",A,B,b,False,Multiple Choice
632,"In the northern portion of the area shown, what is the nature of the change regarding the parking lot?  **A)** It was demolished and returned to a natural state. **B)** It was newly constructed where there was previously forest. **C)** It was reduced in size to accommodate more landscaping. **D)** It was repaved and restriped but its size remained the same.",B,B,b,True,Multiple Choice
633,"Looking at the southwestern portion of the imagery, what change has occurred regarding the sidewalk?  **A)** It was demolished. **B)** It was newly constructed. **C)** It was narrowed to allow for more landscaping. **D)** It was repaved with a darker material.",B,A,a,False,Multiple Choice
634,"What change is evident in the paved road running along the western side of the image, near the white water tower?  **A)** It was demolished and replaced with vegetation. **B)** It was newly paved, appearing much darker and more defined. **C)** It was widened to accommodate more lanes of traffic. **D)** It was redirected to pass under a newly constructed bridge.",B,B,b,True,Multiple Choice
635,Has the parking lot located in the southeastern corner of the image seen a significant reduction in the number of parked vehicles?,Yes,Yes,yes,True,Yes/No
636,"Has the tree located in the northeastern portion of the clearing, just south of the curved road, been removed to make way for residential construction?",Yes,Yes,yes,True,Yes/No
637,Have several trees from the row bordering the western side of the main north-south road been removed?,Yes,Yes,yes,True,Yes/No
638,What change can be seen in the center of the image between the two time periods?  **A)** A building was demolished. **B)** A new building was constructed. **C)** A new road was built. **D)** A swimming pool was installed.,B,B,b,True,Multiple Choice
639,"Looking at the bottom-left corner of the provided images, what is the nature of the change regarding the building at that location?  **A)** The building was completely demolished. **B)** A new building was constructed. **C)** The roof of an existing building was replaced. **D)** An extension was added to an existing building.",B,B,b,True,Multiple Choice
640,"In the northeast corner of the property, what significant change has occurred between the two images?  **A)** A building was demolished. **B)** New residential buildings were constructed. **C)** A large parking lot was paved. **D)** A forest was cleared for a park.",B,B,b,True,Multiple Choice
641,"In the northern section of the area, near the transition from the early development to the fully built-out neighborhood, what change occurred regarding the sidewalk?  **A)** It was demolished to make way for a road. **B)** It was newly constructed as part of the development. **C)** it was removed and replaced with a garden bed. **D)** It was narrowed to increase the size of the adjacent driveways.",B,B,b,True,Multiple Choice
642,Has the unpaved road running horizontally across the upper portion of the area been replaced by a paved residential street?,Yes,Yes,yes,True,Yes/No
643,"Looking at the northernmost part of the scene, what significant change has occurred regarding the building development between the two images?  **A)** A building was demolished and replaced by a grassy area. **B)** An existing building underwent a major roof renovation. **C)** A new building has been constructed where there was previously undeveloped land and trees. **D)** A large parking lot was built over an existing structure.",C,C,c,True,Multiple Choice
644,What change can be observed at the property located at the far right end of the top row of houses?  **A)** A new building was constructed. **B)** The existing building was demolished. **C)** The property was converted into a park. **D)** A large extension was added to the existing house.,A,D,d,False,Multiple Choice
645,"Between the two images, what happened to the small tree located in the lower central part of the area, just to the east of the main curving road?  **A)** It grew significantly larger and became part of a backyard. **B)** It was cleared to make way for the construction of a house. **C)** It was preserved and remains in the same spot within a new park. **D)** It was relocated to the edge of the straight road on the far right.",B,B,b,True,Multiple Choice
646,"In the southeastern portion of the site, has the small cluster of trees been removed and replaced by a paved parking area?",Yes,Yes,yes,True,Yes/No
647,Has a new paved road ending in a circular cul-de-sac been constructed in the center-right portion of the terrain?,Yes,Yes,yes,True,Yes/No
648,What change occurred to the tree located in the far northwest corner of the images?  **A)** It was removed to make way for a new road and residential development. **B)** It was preserved and integrated into the new landscaping. **C)** It grew significantly in height and canopy width. **D)** It was moved to a location closer to the large blue-roofed building.,A,A,a,True,Multiple Choice
649,What change is observed in the western part of the images at the site of the house in the upper left quadrant of the residential development?  **A)** A new building was constructed. **B)** An existing building was demolished. **C)** The land was cleared for a new road. **D)** A garden was replaced by a swimming pool.,A,B,b,False,Multiple Choice
650,"In the southeast corner of the image, have several trees been added to the front yard of the house situated at the street intersection?",Yes,Yes,yes,True,Yes/No
651,"On the far right edge of the scene, what change has occurred regarding the building structure?  **A)** A new building was constructed. **B)** The existing building was demolished. **C)** The building underwent a roof replacement. **D)** There was no change to the building.",A,D,d,False,Multiple Choice
652,"In the lower-right corner of the residential area shown, what significant change has occurred to the property between the two images?  **A)** A new house was constructed on a previously undeveloped lot. **B)** A house was demolished and replaced with a garden. **C)** The existing building was expanded with a second story. **D)** A large swimming pool was installed in the backyard.",A,A,a,True,Multiple Choice
653,"Has a new building with a clearly defined roof been constructed in the southern section of the scene, located south of the curving dirt path that borders the pond?",Yes,Yes,yes,True,Yes/No
654,"Focusing on the northwest corner of the images, what is the most notable change regarding buildings that has occurred?  **A)** A new building has been constructed on what was previously natural, vegetated land. **B)** An existing building was demolished to make space for a new residential street. **C)** The roof of a pre-existing building was renovated and changed to a darker color. **D)** A large extension was added to the side of an original farmhouse.",A,A,a,True,Multiple Choice
655,"Has a new residential building been constructed in the northwest portion of the image, replacing what was previously an open field area?",Yes,Yes,yes,True,Yes/No
656,"What change is visible regarding the tree located at the corner of the property at the curve of the cul-de-sac in the upper middle section of the image?  **A)** The tree has been removed and replaced with grass. **B)** The tree has grown significantly larger and has a fuller canopy. **C)** The tree has been cut down, leaving only a small stump. **D)** The tree was replaced by a paved parking area.",B,B,b,True,Multiple Choice
657,"Looking at the middle-left portion of the residential area shown in the second image, what change has occurred at that specific site compared to the first image?  **A)** A pre-existing building was demolished. **B)** A new building was constructed on formerly undeveloped land. **C)** The roof of the house was renovated with a different material. **D)** A large garden was replaced by a paved driveway.",B,B,b,True,Multiple Choice
658,What significant change has occurred in the lower-central portion of the second image compared to the first image?  **A)** A large warehouse was demolished. **B)** A new residential house was constructed on a previously empty lot. **C)** A swimming pool was removed from a backyard. **D)** A forested area was cleared to create a new road.,B,B,b,True,Multiple Choice
659,"Looking at the northeastern section of the original lot, what happened to the tree that was previously located there?  **A)** It was removed for the construction of a new building. **B)** It has been integrated into the new parking lot design. **C)** It was relocated to the southern edge of the property. **D)** It grew significantly larger and is now providing shade for the new structure.",A,A,a,True,Multiple Choice
660,"In the eastern section of the neighborhood, along the right side of the curved residential street, what change has occurred regarding the sidewalk?  **A)** A section of the sidewalk was demolished. **B)** The sidewalk has been newly constructed. **C)** The sidewalk was repainted with markings. **D)** The sidewalk was replaced with a grassy area.",B,A,a,False,Multiple Choice
661,"In the bottom right corner of the imagery, what change has occurred regarding a building?  **A)** A building was demolished. **B)** A building was newly constructed. **C)** A building was significantly expanded. **D)** A building was relocated.",B,A,a,False,Multiple Choice
662,"Has a new building been constructed in the top-left quadrant of the image, situated near the bend in the road?",Yes,No,no,False,Yes/No
663,"In the southwestern corner of the image, south of the main horizontal road, has a new group of trees been planted?",Yes,No,no,False,Yes/No
664,"Have the trees located in the western portion of the scene, south of the main intersection, been removed?",Yes,Yes,yes,True,Yes/No
665,"What change has occurred to the plot of land situated on the northern side of the street, just east of the cul-de-sac?  **A)** A building was demolished. **B)** A new building was constructed. **C)** A swimming pool was added. **D)** The land was cleared of vegetation.",B,B,b,True,Multiple Choice
666,Has a new residential building been constructed in the southern part of the area that was previously covered by dense trees?,Yes,Yes,yes,True,Yes/No
667,What change can be observed in the lower portion of the area shown in these images?  **A)** Several new residential buildings were constructed. **B)** A series of old houses were demolished. **C)** The existing buildings in this area underwent major roof renovations. **D)** A large industrial complex was removed to make way for a park.,A,A,a,True,Multiple Choice
668,"Has the lone tree located in the upper-left quadrant, to the west of the winding dirt path, been cleared for the construction of a building?",Yes,No,no,False,Yes/No
669,What change can be observed regarding the swimming pool in the backyard of the third house from the top on the right side of the main vertical road?  **A)** A swimming pool was constructed. **B)** A swimming pool was demolished. **C)** A swimming pool was converted into a garden. **D)** The swimming pool was moved to the front of the house.,A,A,a,True,Multiple Choice
